path,recorded_sha256,current_sha256,status
analysis\sv_physical_diameter_geometry_v2\geometry_manifest.csv.gz,8a628499577f267b5311c283b8a9ac2ffedf2b4eb91bed7cb7cc7d0a530fff19,8a628499577f267b5311c283b8a9ac2ffedf2b4eb91bed7cb7cc7d0a530fff19,unchanged
analysis\sv_physical_diameter_geometry_v2\independent_integration_spotchecks.csv,5788356fe70eea7d6ad28721a6cba28867260a8107967506d6600687ebd9e4f9,5788356fe70eea7d6ad28721a6cba28867260a8107967506d6600687ebd9e4f9,unchanged
analysis\sv_physical_diameter_geometry_v2\input_manifest.csv,d3ef6810c363f1a704326e6da26d21b076ace18b8bef11f948cdcadd5e070af7,d3ef6810c363f1a704326e6da26d21b076ace18b8bef11f948cdcadd5e070af7,unchanged
analysis\sv_physical_diameter_geometry_v2\output_sha256.csv,08eb173af7c19940c369699093c8c458999561e7179dbff26b34f9c4eabc5b4c,08eb173af7c19940c369699093c8c458999561e7179dbff26b34f9c4eabc5b4c,unchanged
analysis\sv_physical_diameter_geometry_v2\provenance.json,74fcc270dfd54a372b5bb8a80bd7e0f79a3b9af4fe121f8ded9fe5402b15523b,74fcc270dfd54a372b5bb8a80bd7e0f79a3b9af4fe121f8ded9fe5402b15523b,unchanged
analysis\sv_physical_diameter_geometry_v2\README.md,91f8c42df82ca4aea0e726ac678e6f80216b6a48264a9cd142012a06cb1d1a3c,91f8c42df82ca4aea0e726ac678e6f80216b6a48264a9cd142012a06cb1d1a3c,unchanged
analysis\sv_physical_diameter_geometry_v2\validation.json,b41f3948560034d73d237c7dfe0c79932674766e55f2e7350e9b3082973435f8,b41f3948560034d73d237c7dfe0c79932674766e55f2e7350e9b3082973435f8,unchanged
analysis\sv_physical_diameter_geometry_v2\volume_geometry_change_summary.csv,3c1fa2cacd01c047c67372b304dcb6462d1706164bc835fa73a83b207778a067,3c1fa2cacd01c047c67372b304dcb6462d1706164bc835fa73a83b207778a067,unchanged
analysis\sv_source_tail_framewise_coupling_v1\band_volume_comparison.csv,d86aecc39f84b4a8df4b3dbb273e9b44ec3299a172498e19b9748d8bc98fe0cc,d86aecc39f84b4a8df4b3dbb273e9b44ec3299a172498e19b9748d8bc98fe0cc,unchanged
analysis\sv_source_tail_framewise_coupling_v1\band_zero_lag_coupling.csv,3c66f553d8edc90afd2b7a9c9212709450721071e8479848e5ed8f57767dc99b,3c66f553d8edc90afd2b7a9c9212709450721071e8479848e5ed8f57767dc99b,unchanged
analysis\sv_source_tail_framewise_coupling_v1\build_readme.py,cda39fd28fc561af33fbaaa19dd77649be2f12d424c47e3aff82e68edc4232ab,cda39fd28fc561af33fbaaa19dd77649be2f12d424c47e3aff82e68edc4232ab,unchanged
analysis\sv_source_tail_framewise_coupling_v1\d128_array_identity_audit.csv,085f8ecbfb700a6a9b386db134b5943e48b140b7192b85fb90f00aaa25f70897,085f8ecbfb700a6a9b386db134b5943e48b140b7192b85fb90f00aaa25f70897,unchanged
analysis\sv_source_tail_framewise_coupling_v1\d500_extension_summary.csv,e8659cf1c97686731dac46f24c5a91e71317591c892825494db4595957ebb139,e8659cf1c97686731dac46f24c5a91e71317591c892825494db4595957ebb139,unchanged
analysis\sv_source_tail_framewise_coupling_v1\diameter_common_flow_summary.csv,e690e4783a45e2b9d175acd37646ccd716be91a1c3b192661e8911bbe8856dee,e690e4783a45e2b9d175acd37646ccd716be91a1c3b192661e8911bbe8856dee,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure1_framewise_flow5.pdf,67ce57da96aff5e5f3b69431b63abfdf46adf90652db3de30fd22768f83caa28,67ce57da96aff5e5f3b69431b63abfdf46adf90652db3de30fd22768f83caa28,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure1_framewise_flow5.png,f692861230fb0afef5e74b99cd021598601d64938f5c5854cd5c811038636eb2,f692861230fb0afef5e74b99cd021598601d64938f5c5854cd5c811038636eb2,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure2_lag_raw_flow5.pdf,3bed49041c0d1b3a2bea390ead28f34d372d19b60d26f46eaa1d1f4ec34c37b3,3bed49041c0d1b3a2bea390ead28f34d372d19b60d26f46eaa1d1f4ec34c37b3,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure2_lag_raw_flow5.png,54c63c0acd33edb8f2edff7dadd75f4c4c9d32629c72423b495bfd124c2483b7,54c63c0acd33edb8f2edff7dadd75f4c4c9d32629c72423b495bfd124c2483b7,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure3_lag_detrended_51_flow5.pdf,36a61880e844c1ce2e387fed7a9d99fd22342181bd32a09977f5060355823362,36a61880e844c1ce2e387fed7a9d99fd22342181bd32a09977f5060355823362,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure3_lag_detrended_51_flow5.png,8403e2761403376aa2bc2a660738509377e8496e95aadec7704c7dba25be014c,8403e2761403376aa2bc2a660738509377e8496e95aadec7704c7dba25be014c,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure4_all_common_volumes.pdf,5473745ea31ecd2ab0cf439f5e283fb0972d2481bccaddb798d32450f4642491,5473745ea31ecd2ab0cf439f5e283fb0972d2481bccaddb798d32450f4642491,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure4_all_common_volumes.png,52167412033b838aa9a952878a830ea37dd261028b2cd3018526a017d5198bb7,52167412033b838aa9a952878a830ea37dd261028b2cd3018526a017d5198bb7,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure5_axial_bands.pdf,1c13b112e9a20490aa076f7bb25748c5c07b0e185b76c3788a4bdac3b8b06580,1c13b112e9a20490aa076f7bb25748c5c07b0e185b76c3788a4bdac3b8b06580,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure5_axial_bands.png,ae087fe99274565cef51a4c3652acb72842819d7b903e47805be3874cf6d1d5b,ae087fe99274565cef51a4c3652acb72842819d7b903e47805be3874cf6d1d5b,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure6_tail_depth_specificity.pdf,1a8fd16676230ab6349a46849ace2996c2ea26a3da59fcdbd98d4302c8c17f8d,1a8fd16676230ab6349a46849ace2996c2ea26a3da59fcdbd98d4302c8c17f8d,unchanged
analysis\sv_source_tail_framewise_coupling_v1\figure6_tail_depth_specificity.png,6201f33d1b3675bb956c173c8d6c9a704b33bf01c3a5fddcf4537267c04d0c6c,6201f33d1b3675bb956c173c8d6c9a704b33bf01c3a5fddcf4537267c04d0c6c,unchanged
analysis\sv_source_tail_framewise_coupling_v1\framewise_source_tail_metrics.csv,fb0dde488a3fa7f4f75fe1b55deb124c5b3f3ce67749105aae01376bbed443e5,fb0dde488a3fa7f4f75fe1b55deb124c5b3f3ce67749105aae01376bbed443e5,unchanged
analysis\sv_source_tail_framewise_coupling_v1\independent_verification.json,c03c61b005b5094770469677786a7129e618fac1e26acd2b0ee7e6a27e29c56e,c03c61b005b5094770469677786a7129e618fac1e26acd2b0ee7e6a27e29c56e,unchanged
analysis\sv_source_tail_framewise_coupling_v1\input_manifest.csv,aa056e2ec01061a9976bd9dc02ab70801d8ea39d98fef23a2b1d3fda3e842e09,aa056e2ec01061a9976bd9dc02ab70801d8ea39d98fef23a2b1d3fda3e842e09,unchanged
analysis\sv_source_tail_framewise_coupling_v1\lag_correlation_detrended_51.csv,6928ae3e461adcce05cb94ccb90890a0f5c1efde61e53ed8e838f75e94c02205,6928ae3e461adcce05cb94ccb90890a0f5c1efde61e53ed8e838f75e94c02205,unchanged
analysis\sv_source_tail_framewise_coupling_v1\lag_correlation_detrended_sensitivity.csv,0ea1837f3ef71e1b7b0962b219d0428beb0b7ca709708455b9e7cc1592dba94f,0ea1837f3ef71e1b7b0962b219d0428beb0b7ca709708455b9e7cc1592dba94f,unchanged
analysis\sv_source_tail_framewise_coupling_v1\lag_correlation_raw.csv,ca57f596f82412d1e707da7c116b348e3d517c31d77609b56318ddd99a807d9f,ca57f596f82412d1e707da7c116b348e3d517c31d77609b56318ddd99a807d9f,unchanged
analysis\sv_source_tail_framewise_coupling_v1\lag_peak_summary.csv,959c863ee031cc1b4bee4d5241671c9d45bc6c79377ee33cfb20875f1c8c534f,959c863ee031cc1b4bee4d5241671c9d45bc6c79377ee33cfb20875f1c8c534f,unchanged
analysis\sv_source_tail_framewise_coupling_v1\partial_spearman_area_ztop.csv,5392bd15fc20fd3675f24ef4b17ccd5057beb7c8375c5988fa89ea9b5cba52f3,5392bd15fc20fd3675f24ef4b17ccd5057beb7c8375c5988fa89ea9b5cba52f3,unchanged
analysis\sv_source_tail_framewise_coupling_v1\provenance.json,51fdf27b00559a00095fcf73b43a24653abdc006f7645e6deaaf0fc03894b204,51fdf27b00559a00095fcf73b43a24653abdc006f7645e6deaaf0fc03894b204,unchanged
analysis\sv_source_tail_framewise_coupling_v1\README.md,73bcfcc9ffb23279073587627dc088e19acd567e38115f42eeff32fcbe8e16d6,73bcfcc9ffb23279073587627dc088e19acd567e38115f42eeff32fcbe8e16d6,unchanged
analysis\sv_source_tail_framewise_coupling_v1\run_analysis.py,8916ea8977a148272c1928c60837b5cb8f3babc5d125a59b5089c0c99d3cff68,8916ea8977a148272c1928c60837b5cb8f3babc5d125a59b5089c0c99d3cff68,unchanged
analysis\sv_source_tail_framewise_coupling_v1\tail100_vs_tail500_volume_comparison.csv,a43919329e3257a900e9abdb352a454d2c259e422215448b4788c55959190726,a43919329e3257a900e9abdb352a454d2c259e422215448b4788c55959190726,unchanged
analysis\sv_source_tail_framewise_coupling_v1\validation.json,7d529ac59fbc395793979632a262765ccae9420cf0b0a0711dc327c244bba224,7d529ac59fbc395793979632a262765ccae9420cf0b0a0711dc327c244bba224,unchanged
analysis\sv_source_tail_framewise_coupling_v1\verify_outputs.py,652cfa52972d3376fd8cc69735bb6524adff8d5e15908ddbb4466ac5eeee1ef6,652cfa52972d3376fd8cc69735bb6524adff8d5e15908ddbb4466ac5eeee1ef6,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_detrended_coupling.csv,7d0212bc5b57569f923651d99ed9bcc288cbd40f2a2bc3767a34f1403bcda59d,7d0212bc5b57569f923651d99ed9bcc288cbd40f2a2bc3767a34f1403bcda59d,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_first_difference_coupling.csv,74310d07cfa0bed5c22cc748e8c08924aec2f1c510baa516886e78090a35350f,74310d07cfa0bed5c22cc748e8c08924aec2f1c510baa516886e78090a35350f,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_frame_coverage.csv,c8a4a0ee43fa254cc70bb930c5b6b9f36cca211de360c2c67619e8e770ed8d72,c8a4a0ee43fa254cc70bb930c5b6b9f36cca211de360c2c67619e8e770ed8d72,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_median_validation.csv,1afee6f7493836df9154f9bf9a019362ffe4b88a27a37f170e06f6f162110a76,1afee6f7493836df9154f9bf9a019362ffe4b88a27a37f170e06f6f162110a76,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_pair_diagnostics.csv,7778d9f3e745adc4fb0295b3f1ecd8fab9660fafca291d9dcacc91f8347d9e76,7778d9f3e745adc4fb0295b3f1ecd8fab9660fafca291d9dcacc91f8347d9e76,unchanged
analysis\sv_source_tail_framewise_coupling_v1\volume_zero_lag_coupling.csv,df10e2a582d292b5a0e9c92b177558a066c509006d0adef1ec3ace12b400e7b5,df10e2a582d292b5a0e9c92b177558a066c509006d0adef1ec3ace12b400e7b5,unchanged
analysis\sv_source_tail_depth_coupling_v1\absolute_vs_normalized_similarity.csv,8ee9beb591accba8c46f34058b1a020b9d5f4af3d361de6068d11928cbf2fb2b,8ee9beb591accba8c46f34058b1a020b9d5f4af3d361de6068d11928cbf2fb2b,unchanged
analysis\sv_source_tail_depth_coupling_v1\analyze_depth_coupling.py,7b8da3b88313e56e570f2f9fd637fcc4da907e5a910de88915a3fefc01339020,7b8da3b88313e56e570f2f9fd637fcc4da907e5a910de88915a3fefc01339020,unchanged
analysis\sv_source_tail_depth_coupling_v1\array_identity_audit.csv.gz,8727ecb7684494f1e9565d2dc5979856638eaabe86ce5e026558c1d0ef8befa2,8727ecb7684494f1e9565d2dc5979856638eaabe86ce5e026558c1d0ef8befa2,unchanged
analysis\sv_source_tail_depth_coupling_v1\build_report.py,07f786f4d446b814adcc411f1b252f5634053c27f244f0a77ce1991251bf1131,07f786f4d446b814adcc411f1b252f5634053c27f244f0a77ce1991251bf1131,unchanged
analysis\sv_source_tail_depth_coupling_v1\coupling_maps_all_resolutions_modes.csv.gz,de8088f13e02b903a1b635d48f290d8578fd10e52c0406bb217997a75d8badc1,de8088f13e02b903a1b635d48f290d8578fd10e52c0406bb217997a75d8badc1,unchanged
analysis\sv_source_tail_depth_coupling_v1\cross_diameter_similarity_summary.csv,2abe8269f084d4970402f18652fe08dde4110f5bb1cc84c0984ecb7a6cf55f76,2abe8269f084d4970402f18652fe08dde4110f5bb1cc84c0984ecb7a6cf55f76,unchanged
analysis\sv_source_tail_depth_coupling_v1\d500_extension_volume_summary.csv,a93ea0004190e9e82619a1136bc4ababd8ceda500a01323765c458953faa506f,a93ea0004190e9e82619a1136bc4ababd8ceda500a01323765c458953faa506f,unchanged
analysis\sv_source_tail_depth_coupling_v1\data_validation.json,dac53ac6d9976f8a75cc11f449be8e52836ea68e7b38d4d5ea1d9bff1472b492,dac53ac6d9976f8a75cc11f449be8e52836ea68e7b38d4d5ea1d9bff1472b492,unchanged
analysis\sv_source_tail_depth_coupling_v1\delivery_summary.json,2f5d8714050133d8a71a23eb5cf7b39d2f766f661f996bb730eb1295c0145da5,2f5d8714050133d8a71a23eb5cf7b39d2f766f661f996bb730eb1295c0145da5,unchanged
analysis\sv_source_tail_depth_coupling_v1\derive_depth_metrics.py,3ee1b3f3aad1bc97f917a6ad27e178f5a404a317489a532086ddbf117b21ad5c,3ee1b3f3aad1bc97f917a6ad27e178f5a404a317489a532086ddbf117b21ad5c,unchanged
analysis\sv_source_tail_depth_coupling_v1\detrend_sensitivity_summary.csv,c79f68c45fbec8924a93ed0be8aae0c2f7fb6626ae867ec8ceaf753886754264,c79f68c45fbec8924a93ed0be8aae0c2f7fb6626ae867ec8ceaf753886754264,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_absolute_consensus_map.csv,9a891ad07616d4a4defe2532762e2c5772de755b3f70fa707fcd208a6fb5f1f9,9a891ad07616d4a4defe2532762e2c5772de755b3f70fa707fcd208a6fb5f1f9,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_absolute_map_similarity.csv,418e1d87ac24499cabc7daf05a305410eefeafae0273c5fc3e6ac791c22ceb0c,418e1d87ac24499cabc7daf05a305410eefeafae0273c5fc3e6ac791c22ceb0c,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_absolute_sign_consistency.csv,8f064cc69baab72322905a4e1b093589f4707e6ac84b84f4dd3f52051e9d2919,8f064cc69baab72322905a4e1b093589f4707e6ac84b84f4dd3f52051e9d2919,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_consensus_all_resolutions_modes.csv.gz,f28d9672778d2b5b1f354a74317bb2d652f47ea2ad7f4b59eec8b5407e353791,f28d9672778d2b5b1f354a74317bb2d652f47ea2ad7f4b59eec8b5407e353791,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_consensus_high_region_cells.csv,8467fba074dafe725f32cf9ca8eb43e5697ab98c7d9ed4267733c5dce43a6cae,8467fba074dafe725f32cf9ca8eb43e5697ab98c7d9ed4267733c5dce43a6cae,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_consensus_high_region_summary.csv,41b99b4e6d64c2d639083a9a464a13a77bc746d17d7fa393558159d51d24ad6d,41b99b4e6d64c2d639083a9a464a13a77bc746d17d7fa393558159d51d24ad6d,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_geometry_control_all_modes.csv.gz,3db3b2b20f0aedecf2ca5726d345f9ebdd0f07513355bb7ae59e359cde0cb46e,3db3b2b20f0aedecf2ca5726d345f9ebdd0f07513355bb7ae59e359cde0cb46e,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_geometry_control_consensus.csv,488108cf9897f9e60d5f5cccf8bdeaf9fbc570f2ce45a481aa5fb66790d4f8a8,488108cf9897f9e60d5f5cccf8bdeaf9fbc570f2ce45a481aa5fb66790d4f8a8,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_normalized_consensus_map.csv,151005732322db1bb0d17ea8991a5301e1c47b42e148a59e9b69845c863ad419,151005732322db1bb0d17ea8991a5301e1c47b42e148a59e9b69845c863ad419,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_normalized_map_similarity.csv,9b942f0f1341b7d7f87f3936b1ee241d4468696545e8b87616b6c5ba22ec81d1,9b942f0f1341b7d7f87f3936b1ee241d4468696545e8b87616b6c5ba22ec81d1,unchanged
analysis\sv_source_tail_depth_coupling_v1\diameter_normalized_sign_consistency.csv,438754689cf405f2c226db916fcb75d16d14bb59e0e42dde2a01276ae4c881e4,438754689cf405f2c226db916fcb75d16d14bb59e0e42dde2a01276ae4c881e4,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure10_secondary_q_consensus.pdf,8d927878bf6c2e98abf689cbe72279bc0e1f64ff3abf210865da95d413b846c4,8d927878bf6c2e98abf689cbe72279bc0e1f64ff3abf210865da95d413b846c4,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure10_secondary_q_consensus.png,69274caada7618abeb2d81050eedeee71452054c39b7ed384da7abdc6dafc1e8,69274caada7618abeb2d81050eedeee71452054c39b7ed384da7abdc6dafc1e8,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure1_absolute_consensus.pdf,cfdbed855b2a6687f397a6b75df37a501d3fe5370d7ea5470e89b3cc90cbf208,cfdbed855b2a6687f397a6b75df37a501d3fe5370d7ea5470e89b3cc90cbf208,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure1_absolute_consensus.png,717266ad01218068a40cd5804d715a642c64e94838eefb947b0e530fd78936f3,717266ad01218068a40cd5804d715a642c64e94838eefb947b0e530fd78936f3,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure2_absolute_positive_consistency.pdf,c854978da3334a45e686fc61d51f864effb48fc24b8128a30564ab9e9c1383c8,c854978da3334a45e686fc61d51f864effb48fc24b8128a30564ab9e9c1383c8,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure2_absolute_positive_consistency.png,3cfb44df9c1d85a712ccfc3a67d3ddb0eb088a80f1d40414eff9673082f0649a,3cfb44df9c1d85a712ccfc3a67d3ddb0eb088a80f1d40414eff9673082f0649a,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D128_common_grid_volume_atlas.pdf,df0790ee00c661ae33b4cdf9525bdbd62d63018f0571a9668c90cab401b54ee4,df0790ee00c661ae33b4cdf9525bdbd62d63018f0571a9668c90cab401b54ee4,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D128_common_grid_volume_atlas.png,a5ccde5a7391398e9673929347f0eb1c19a1706fbccbe5e332be5fd9ea37b5f6,a5ccde5a7391398e9673929347f0eb1c19a1706fbccbe5e332be5fd9ea37b5f6,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D235_common_grid_volume_atlas.pdf,8dc1de0018d8b2f478e74523c652c872e32fbbb68db9a8f4f23f50d49245c40e,8dc1de0018d8b2f478e74523c652c872e32fbbb68db9a8f4f23f50d49245c40e,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D235_common_grid_volume_atlas.png,66ab848924417ea326ab93e7a9c6e685f5da96252f3ea50c47be3288d57b8366,66ab848924417ea326ab93e7a9c6e685f5da96252f3ea50c47be3288d57b8366,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D285_common_grid_volume_atlas.pdf,bace8c87693f74a954c287360eb5badf04fa7b6f24e4a2911c69ed6d3fd9a71e,bace8c87693f74a954c287360eb5badf04fa7b6f24e4a2911c69ed6d3fd9a71e,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D285_common_grid_volume_atlas.png,e0196ead206b76539d690e82040dd17d11ef02c895a99ca39bc0cd7ff198279d,e0196ead206b76539d690e82040dd17d11ef02c895a99ca39bc0cd7ff198279d,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D500_common_grid_volume_atlas.pdf,f99e1a6b5b5fa7ec67be157c36b20376ec0d0186b0fa06c8d13429aecd2bf58e,f99e1a6b5b5fa7ec67be157c36b20376ec0d0186b0fa06c8d13429aecd2bf58e,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D500_common_grid_volume_atlas.png,2657374a506c9c99f97a76a27011dcdfd23fdd32264ff079ab1b79b4c05a6113,2657374a506c9c99f97a76a27011dcdfd23fdd32264ff079ab1b79b4c05a6113,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D500_d500_extension_volume_atlas.pdf,f36f297d5ff55eda6a2eeb62d3dcab5e491e28c98fadbe4e5ffe09aa8bf757cc,f36f297d5ff55eda6a2eeb62d3dcab5e491e28c98fadbe4e5ffe09aa8bf757cc,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure3_D500_d500_extension_volume_atlas.png,fe6064cbf6e22c7b434c4df5ad054d2817e1ae10da3d51c77fc7e75266025dcc,fe6064cbf6e22c7b434c4df5ad054d2817e1ae10da3d51c77fc7e75266025dcc,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure4_normalized_consensus.pdf,c403de46628c129a1f9eb6eeb4d3e2ce9f64a34d616b28b561930a7834209745,c403de46628c129a1f9eb6eeb4d3e2ce9f64a34d616b28b561930a7834209745,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure4_normalized_consensus.png,a250f827a77aba7bee9ce3be909deb0de93e919a1930d777d71bcb180f8686ae,a250f827a77aba7bee9ce3be909deb0de93e919a1930d777d71bcb180f8686ae,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure5_flow_map_similarity.pdf,809fadea0ca3e063fdc2bda861417aa0d6b1903d1b47469d9dea811bb10ddcac,809fadea0ca3e063fdc2bda861417aa0d6b1903d1b47469d9dea811bb10ddcac,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure5_flow_map_similarity.png,479b583950aa4796ec69e9820d822eb0a31e68a3dbf1cabe742c837472aa73c6,479b583950aa4796ec69e9820d822eb0a31e68a3dbf1cabe742c837472aa73c6,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure6_peak_high_region_locations.pdf,a6f46585fde2d416904da618e098f89917e0f8dbf93003b8afbce89c2d79bab4,a6f46585fde2d416904da618e098f89917e0f8dbf93003b8afbce89c2d79bab4,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure6_peak_high_region_locations.png,fcfd12fe40fc1db7cd19bbec614ad51168d0fdf9174b2fdf3ae74f448a59efda,fcfd12fe40fc1db7cd19bbec614ad51168d0fdf9174b2fdf3ae74f448a59efda,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure7_cross_diameter_coordinates.pdf,47118ba33ce7b71c42139870f0e5b1c58e8c4d372691e0aaaf6e226678567458,47118ba33ce7b71c42139870f0e5b1c58e8c4d372691e0aaaf6e226678567458,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure7_cross_diameter_coordinates.png,4453079153e80513b7ce93f4154a34eeb0ce2a243f2b2198cca7fceb6cca84d9,4453079153e80513b7ce93f4154a34eeb0ce2a243f2b2198cca7fceb6cca84d9,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure8_fixed_flow5_lag_detrended_51.pdf,4101e944996cdaea1706a387d3a057ae3a3346a035eea302a5458c3e04e0ffd3,4101e944996cdaea1706a387d3a057ae3a3346a035eea302a5458c3e04e0ffd3,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure8_fixed_flow5_lag_detrended_51.png,0497f350bc38b1aee2931f7e86fc4f32837d349fe73190a4f052dbff3211c529,0497f350bc38b1aee2931f7e86fc4f32837d349fe73190a4f052dbff3211c529,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure8_fixed_flow5_lag_raw.pdf,185bd1b113fbb750d44bde374da618c1c4ae5e4abfe91634c751d9bbd5a7ca89,185bd1b113fbb750d44bde374da618c1c4ae5e4abfe91634c751d9bbd5a7ca89,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure8_fixed_flow5_lag_raw.png,10aeb2cea15b624897ef9127776e22f1690ce62f68be90bbdc18c656aa6dfa32,10aeb2cea15b624897ef9127776e22f1690ce62f68be90bbdc18c656aa6dfa32,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure9_geometry_control_consensus.pdf,e967ac1cfce9d69c1db75dce49febb3812a63c6d30b14b013421d98bd564c9e2,e967ac1cfce9d69c1db75dce49febb3812a63c6d30b14b013421d98bd564c9e2,unchanged
analysis\sv_source_tail_depth_coupling_v1\figure9_geometry_control_consensus.png,e8858e0309dc1940251eab67bd1248efcb803b356653606042eab0ea6aeb3d3b,e8858e0309dc1940251eab67bd1248efcb803b356653606042eab0ea6aeb3d3b,unchanged
analysis\sv_source_tail_depth_coupling_v1\flow_map_similarity.csv,8ab5d9b93aaebce4d83a9e321de6a900db1fee49acae3426502eaae751373275,8ab5d9b93aaebce4d83a9e321de6a900db1fee49acae3426502eaae751373275,unchanged
